,taxon,key
269,Habromys lophurus,2438987
270,Peromyscus laceianus,12003936
271,Peromyscus pectoralis,2438024
272,Peromyscus collinus,7593366
273,Peromyscus beatae,4265104
274,Peromyscus greenbaumi,2437961
275,Peromyscus levipes,2437991
276,Peromyscus ensinki,2437961
277,Peromyscus carletoni,7685264
278,Peromyscus schmidlyi,4828980
279,Peromyscus kilpatricki,9606275
280,Peromyscus simulus,2437966
281,Peromyscus boylii,2438038
282,Peromyscus stephani,2438031
283,Peromyscus madrensis,2437979
284,Peromyscus hylocetes,4265105
285,Peromyscus aztecus,2438022
286,Peromyscus winkelmanni,2437995
287,Peromyscus spicilegus,2437963
288,Peromyscus furvus,2438033
289,Podomys floridanus,2438245
290,Neotomodon alstoni,2439083
291,Reithrodontomys fulvescens,2437864
292,Reithrodontomys hirsutus,2437860
293,Reithrodontomys chrysopsis,2437869
294,Reithrodontomys megalotis,2437874
295,Reithrodontomys zacatecae,2437873
296,Reithrodontomys humulis,2437865
297,Reithrodontomys raviventris,2437867
298,Reithrodontomys montanus,2437866
299,Reithrodontomys mexicanus,2437871
300,Reithrodontomys sumichrasti,2437872
301,Reithrodontomys gracilis,2437855
302,Reithrodontomys spectabilis,2437862
303,Reithrodontomys tenuirostris,2437863
304,Reithrodontomys microdon,2437856
305,Reithrodontomys wagneri,2437854
306,Peromyscus mekisturus,2438030
307,Peromyscus polius,2437969
308,Onychomys arenicola,2438515
309,Onychomys leucogaster,2438517
310,Onychomys torridus,2438516
311,Clethrionomys gapperi,2439137
312,Clethrionomys rutilus,2439139
313,Clethrionomys californicus,2439141
314,Lemmiscus curtatus,2438225
315,Microtus abbreviatus,2438630
316,Microtus montanus,2438609
317,Microtus miurus,2438632
318,Microtus ochrogaster,2438671
319,Microtus xanthognathus,2438664
320,Microtus californicus,2438603
321,Microtus mexicanus,2438651
322,Microtus mogollonensis,2438600
323,Microtus guatemalensis,2438646
324,Microtus richardsoni,2438626
325,Microtus quasiater,2438592
326,Microtus pinetorum,2438638
327,Microtus oaxacensis,2438614
328,Microtus chrotorrhinus,2438667
329,Microtus umbrosus,2438599
330,Microtus drummondii,8508016
331,Microtus pennsylvanicus,2438655
332,Microtus dukecampbelli,2438591
333,Microtus townsendii,2438612
334,Microtus canicaudus,2438593
335,Microtus longicaudus,2438621
336,Microtus oregoni,2438661
337,Alexandromys oeconomus,10535098
338,Mictomys borealis,9439964
339,Synaptomys cooperi,2438954
340,Lemmus trimucronatus,5219836
341,Dicrostonyx richardsoni,2438386
342,Dicrostonyx groenlandicus,2438391
343,Dicrostonyx hudsonius,2438389
344,Neofiber alleni,2438050
345,Ondatra zibethicus,5219858
346,Arborimus albipes,2437933
347,Arborimus longicaudus,2437931
348,Arborimus pomo,2437932
349,Phenacomys ungava,2438113
350,Phenacomys intermedius,2438114
351,Otonyctomys hatti,2438376
352,Nyctomys sumichrasti,2438370
353,Tylomys nudicaudus,2438536
354,Tylomys tumbalensis,2438538
355,Ototylomys chiapensis,9486645
356,Ototylomys phyllotis,2439155
357,Sigmodon leucotis,2438157
358,Sigmodon fulviventer,2438153
359,Sigmodon ochrognathus,2438156
360,Sigmodon hispidus,2438147
361,Sigmodon hirsutus,4265122
362,Sigmodon alleni,2438158
363,Sigmodon mascotensis,2438151
364,Sigmodon arizonae,2438148
365,Sigmodon toltecus,4265125
366,Oryzomys mexicanus,8417023
367,Oryzomys couesi,2438070
368,Oryzomys palustris,2438095
369,Oryzomys texensis,12068964
370,Oligoryzomys fulvescens,2438276
371,Handleyomys melanotis,5786942
372,Handleyomys rostratus,5786940
373,Handleyomys alfaroi,5786937
374,Handleyomys rhabdops,5786941
375,Handleyomys chapmani,5786938
376,Handleyomys saturatior,5786939
377,Handleyomys guerrerensis,4265179
378,Rheomys mexicanus,2439349
379,Rheomys thomasi,2439346
